Ticker,Date,Open,High,Low,Close,Vol
AAPL,2025-01-02T16:00:00Z,151.00,152.00,149.50,151.20,812345
AAPL,2025-01-03T16:00:00Z,151.20,153.50,150.80,152.40,1045532
AAPL,2025-01-03T16:00:00Z,151.20,153.50,150.80,152.40,1045532
AAPL,2025-01-06T16:00:00Z,152.00,151.00,153.00,151.90,963244
AAPL,2025-01-07T16:00:00Z,151.90,154.00,151.00,,905112
AAPL,2025-01-08T16:00:00Z,153.10,155.00,152.50,154.60,1120344
AAPL,2025-01-09T16:00:00Z,,,,,
MSFT,2025-01-02T16:00:00Z,412.00,415.00,411.00,414.20,528311
MSFT,2025-01-06T16:00:00Z,414.20,416.00,413.00,415.10,498220
MSFT,2025-01-03T16:00:00Z,414.00,417.00,413.50,416.80,611203
MSFT,2025-01-07T16:00:00Z,415.10,418.00,414.00,417.50,700000,STALE
