symbol,timestamp,open,high,low,close,volume,sector
AAPL,2024-01-02T16:00:00Z,50.0897,50.3608,48.7425,49.0078,1068983,TECH
MSFT,2024-01-02T16:00:00Z,67.0862,67.459,65.8641,66.2321,1159861,TECH
NVDA,2024-01-02T16:00:00Z,83.7469,83.8851,83.0996,83.2369,1480133,TECH
JPM,2024-01-02T16:00:00Z,101.055,101.2594,100.5357,100.7394,1143926,FINANCIALS
GS,2024-01-02T16:00:00Z,117.6999,117.8226,117.1892,117.3115,990698,FINANCIALS
BAC,2024-01-02T16:00:00Z,134.8377,135.367,132.4373,132.9592,1192676,FINANCIALS
XOM,2024-01-02T16:00:00Z,151.9649,152.0611,151.0258,151.1214,1021273,ENERGY
CVX,2024-01-02T16:00:00Z,168.9024,169.6025,164.8253,165.5114,941084,ENERGY
KO,2024-01-02T16:00:00Z,186.0634,186.5748,183.501,184.0067,1314124,STAPLES
PG,2024-01-02T16:00:00Z,203.0874,204.4408,202.5306,203.8819,1332210,STAPLES
AAPL,2024-01-03T16:00:00Z,48.9938,49.1403,48.8577,49.0042,1103827,TECH
MSFT,2024-01-03T16:00:00Z,66.3361,66.5155,65.92,66.0988,1198949,TECH
NVDA,2024-01-03T16:00:00Z,83.3744,83.5073,82.5613,82.6932,757273,TECH
JPM,2024-01-03T16:00:00Z,100.7363,102.7311,100.6579,102.6512,1402613,FINANCIALS
GS,2024-01-03T16:00:00Z,117.3336,117.8641,115.4564,115.9807,1137573,FINANCIALS
BAC,2024-01-03T16:00:00Z,133.133,134.3362,132.3979,133.5985,836376,FINANCIALS
XOM,2024-01-03T16:00:00Z,150.8636,151.3472,148.0314,148.5074,980073,ENERGY
CVX,2024-01-03T16:00:00Z,165.7372,167.0605,165.4922,166.8139,776156,ENERGY
KO,2024-01-03T16:00:00Z,183.9833,185.5001,183.8542,185.37,934379,STAPLES
PG,2024-01-03T16:00:00Z,203.5012,207.7865,202.2861,206.5531,1525961,STAPLES
AAPL,2024-01-04T16:00:00Z,48.9645,49.1783,48.0205,48.2311,1138445,TECH
MSFT,2024-01-04T16:00:00Z,66.1089,67.3021,66.0743,67.2668,769657,TECH
NVDA,2024-01-04T16:00:00Z,82.6651,83.2532,82.5813,83.1689,714733,TECH
JPM,2024-01-04T16:00:00Z,102.604,102.6549,100.9556,101.0056,1050681,FINANCIALS
GS,2024-01-04T16:00:00Z,116.0328,117.8336,115.3809,117.1752,931432,FINANCIALS
BAC,2024-01-04T16:00:00Z,133.7023,135.6798,133.1144,135.0858,719296,FINANCIALS
XOM,2024-01-04T16:00:00Z,148.2892,148.3888,147.9013,148.0007,747463,ENERGY
CVX,2024-01-04T16:00:00Z,166.7675,167.4764,163.4088,164.1064,874244,ENERGY
KO,2024-01-04T16:00:00Z,185.4368,185.8159,183.8201,184.1967,878384,STAPLES
PG,2024-01-04T16:00:00Z,206.3159,206.5764,204.9366,205.1957,1478994,STAPLES
AAPL,2024-01-05T16:00:00Z,48.1925,48.5968,48.0377,48.4412,1525749,TECH
MSFT,2024-01-05T16:00:00Z,67.3471,67.4441,66.7241,66.8203,1023658,TECH
NVDA,2024-01-05T16:00:00Z,83.1181,83.6697,82.4198,82.9704,1143230,TECH
JPM,2024-01-05T16:00:00Z,101.0517,102.3914,100.6502,101.9863,1245792,FINANCIALS
GS,2024-01-05T16:00:00Z,117.2226,117.6161,116.469,116.8613,1015743,FINANCIALS
BAC,2024-01-05T16:00:00Z,135.0555,136.0637,134.1363,135.1439,1526236,FINANCIALS
XOM,2024-01-05T16:00:00Z,148.2702,150.5585,148.0449,150.3301,1292940,ENERGY
CVX,2024-01-05T16:00:00Z,164.3612,164.3933,163.1792,163.211,967160,ENERGY
KO,2024-01-05T16:00:00Z,184.1157,184.3337,182.7444,182.9611,973023,STAPLES
PG,2024-01-05T16:00:00Z,205.2026,209.4567,204.4159,208.6568,732461,STAPLES
AAPL,2024-01-08T16:00:00Z,48.4319,48.8571,47.0172,47.4336,1040192,TECH
MSFT,2024-01-08T16:00:00Z,66.9652,67.1084,66.3893,66.5316,939393,TECH
NVDA,2024-01-08T16:00:00Z,82.7222,83.8888,82.388,83.5512,1022188,TECH
JPM,2024-01-08T16:00:00Z,102.0711,102.453,101.6804,102.0623,1187133,FINANCIALS
GS,2024-01-08T16:00:00Z,116.8155,117.0123,115.1524,115.3467,853749,FINANCIALS
BAC,2024-01-08T16:00:00Z,135.1686,135.6081,132.9601,133.3938,798618,FINANCIALS
XOM,2024-01-08T16:00:00Z,150.361,150.5209,148.0147,148.1723,1205083,ENERGY
CVX,2024-01-08T16:00:00Z,162.8673,164.0192,162.6034,163.7539,1506883,ENERGY
KO,2024-01-08T16:00:00Z,183.0461,183.0917,179.7809,179.8257,705628,STAPLES
