dataset_id,symbol,timestamp,open,high,low,close,volume
DATASET-001,AAPL,2025-01-02T16:00:00Z,151.00,152.00,149.50,151.20,812345
DATASET-001,AAPL,2025-01-03T16:00:00Z,151.20,153.50,150.80,152.40,1045532
DATASET-001,AAPL,2025-01-06T16:00:00Z,152.00,152.50,150.00,151.90,963244
DATASET-001,AAPL,2025-01-07T16:00:00Z,151.80,154.00,151.50,153.10,1452100
DATASET-001,AAPL,2025-01-08T16:00:00Z,153.50,154.20,152.00,152.60,783550
DATASET-001,AAPL,2025-01-09T16:00:00Z,152.50,154.50,152.00,154.00,891200
DATASET-001,AAPL,2025-01-10T16:00:00Z,154.20,155.00,153.50,154.80,1102340
DATASET-001,AAPL,2025-01-13T16:00:00Z,154.50,156.20,154.00,155.90,1205600
DATASET-001,AAPL,2025-01-14T16:00:00Z,156.00,156.50,154.20,154.60,954300
DATASET-001,AAPL,2025-01-15T16:00:00Z,154.00,155.20,153.00,153.80,856700
DATASET-001,AAPL,2025-01-16T16:00:00Z,153.50,154.80,152.50,154.20,902100
DATASET-001,AAPL,2025-01-17T16:00:00Z,154.00,155.50,153.80,155.10,1056400
DATASET-001,AAPL,2025-01-21T16:00:00Z,155.00,157.00,154.50,156.30,1123400
DATASET-001,AAPL,2025-01-22T16:00:00Z,156.50,158.00,155.50,157.80,1345000
DATASET-001,AAPL,2025-01-23T16:00:00Z,158.00,159.20,157.00,158.50,1256000
DATASET-001,AAPL,2025-01-24T16:00:00Z,158.20,159.50,157.50,158.00,987000
DATASET-001,AAPL,2025-01-27T16:00:00Z,157.80,158.50,156.00,156.50,1045000
DATASET-001,AAPL,2025-01-28T16:00:00Z,156.20,157.00,154.50,155.20,1156000
DATASET-001,AAPL,2025-01-29T16:00:00Z,155.00,156.50,154.00,156.00,998000
DATASET-001,AAPL,2025-01-30T16:00:00Z,156.20,158.00,155.50,157.50,1089000
DATASET-001,AAPL,2025-01-31T16:00:00Z,157.50,159.00,156.80,158.80,1204000
DATASET-001,AAPL,2025-02-03T16:00:00Z,159.00,160.50,158.00,159.60,1305000
DATASET-001,AAPL,2025-02-04T16:00:00Z,159.50,161.00,158.50,160.40,1154000
DATASET-001,AAPL,2025-02-05T16:00:00Z,160.00,162.00,159.50,161.50,1402000
DATASET-001,AAPL,2025-02-06T16:00:00Z,161.20,162.50,160.00,160.80,1250000
DATASET-001,AAPL,2025-02-07T16:00:00Z,160.50,161.80,159.50,161.20,980000
DATASET-001,AAPL,2025-02-10T16:00:00Z,161.00,163.00,160.50,162.50,1105000
DATASET-001,AAPL,2025-02-11T16:00:00Z,162.50,164.50,162.00,163.80,1340000
DATASET-001,AAPL,2025-02-12T16:00:00Z,163.50,165.00,162.50,164.50,1256000
DATASET-001,AAPL,2025-02-13T16:00:00Z,164.00,165.50,163.00,163.20,1102000
DATASET-001,MSFT,2025-01-02T16:00:00Z,352.00,354.00,350.50,353.10,512345
DATASET-001,MSFT,2025-01-03T16:00:00Z,353.50,355.50,352.00,354.20,645532
DATASET-001,MSFT,2025-01-06T16:00:00Z,354.00,355.00,352.50,353.80,563244
DATASET-001,MSFT,2025-01-07T16:00:00Z,353.50,356.00,353.00,355.50,752100
DATASET-001,MSFT,2025-01-08T16:00:00Z,355.80,357.20,354.00,354.90,483550
DATASET-001,MSFT,2025-01-09T16:00:00Z,354.50,356.50,353.50,356.10,591200
DATASET-001,MSFT,2025-01-10T16:00:00Z,356.20,358.00,355.50,357.50,602340
DATASET-001,MSFT,2025-01-13T16:00:00Z,357.50,359.20,356.00,358.90,705600
DATASET-001,MSFT,2025-01-14T16:00:00Z,359.00,359.50,357.20,357.60,554300
DATASET-001,MSFT,2025-01-15T16:00:00Z,357.00,358.20,355.00,356.80,456700
DATASET-001,MSFT,2025-01-16T16:00:00Z,356.50,357.80,355.50,357.20,502100
DATASET-001,MSFT,2025-01-17T16:00:00Z,357.00,359.50,356.80,358.10,656400
DATASET-001,MSFT,2025-01-21T16:00:00Z,358.00,360.00,357.50,359.30,723400
DATASET-001,MSFT,2025-01-22T16:00:00Z,359.50,362.00,358.50,361.80,845000
DATASET-001,MSFT,2025-01-23T16:00:00Z,362.00,363.20,361.00,362.50,756000
